"main_production_country","main_production_company","main_producer_name","editor_name","main_director_name","main_actor3_name","main_actor2_name","main_actor1_name","title","imdb_id","imdb_url","imdb_score","budget_in_millions","month_of_release","year_of_release","duration_in_hours","main_lang","total_number_languages","genre_action","genre_adventure","genre_animation","genre_biography","genre_comedy","genre_crime","genre_documentary","genre_drama","genre_family","genre_fantasy","genre_filmnoir","genre_history","genre_horror","genre_music","genre_musical","genre_mystery","genre_realitytv","genre_romance","genre_scifi","genre_shortfilm","genre_sport","genre_thriller","genre_war","genre_western","main_actor1_is_female","main_actor2_is_female","main_actor3_is_female","total_number_of_actors","main_director_is_female","total_number_of_directors","total_number_of_producers","total_number_of_production_companies","total_number_of_production_countries","genre_count","actor1_avg_score","actor1_tier","actor2_avg_score","actor2_tier","actor3_avg_score","actor3_tier","director_avg_score","director_tier","editor_avg_score","editor_tier","producer_avg_score","producer_tier","production_company_avg_score","production_company_tier","main_lang_category","seasons","Continent"
"Australia","Village Roadshow Pictures","Jeffrey Silver","Conrad Buff IV","Antoine Fuqua","Scott Glenn","Ethan Hawke","Denzel Washington","Training Day","tt0139654","http://www.imdb.com/title/tt0139654/",7.7,45,10,2001,2.033333333,"English",4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,1,2,5,2,3,6.924,"Medium",6.77857142857143,"Medium",7.44285714285714,"Medium",6.8,"Medium",6.77333333333333,"Medium",6.5,"Medium",6.45625,"Medium","English","Fall","OC"
"Australia","Bazmark Films","Baz Luhrmann","Michael McCusker","Baz Luhrmann","Essie Davis","Hugh Jackman","Nicole Kidman","Australia","tt0455824","http://www.imdb.com/title/tt0455824/",6.6,130,11,2008,2.75,"English",2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,45,0,1,5,5,3,3,6.54583333333333,"Medium",7.00769230769231,"Medium",6.43333333333333,"Medium",7.16,"Medium",6.975,"Medium",7.2,"Medium",7.06666666666667,"Medium","English","Fall","OC"
"Australia","New Line Cinema","Alex Proyas","Dov Hoenig","Alex Proyas","Kiefer Sutherland","William Hurt","Rufus Sewell","Dark City","tt0118929","http://www.imdb.com/title/tt0118929/",7.8,27,2,1998,1.666666667,"English",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,18,0,1,2,2,2,2,7.2,"Medium",6.98571428571429,"Medium",6.63636363636364,"Medium",7.2,"Medium",7.16,"Medium",7.7,"Medium",6.4741935483871,"Medium","English","Winter","OC"
"Australia","Village Roadshow Pictures","Johnny Depp","Chris Lebenzon","Tim Burton","Helena Bonham Carter","Michelle Pfeiffer","Johnny Depp","Dark Shadows","tt1077368","http://www.imdb.com/title/tt1077368/",6.3,150,5,2012,1.883333333,"English",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25,0,1,5,7,2,2,7.05,"Medium",6.8,"Medium",6.98571428571429,"Medium",7.04166666666667,"Medium",6.7,"Medium",6.95,"Medium",6.45625,"Medium","English","Spring","OC"
"Australia","Pathe Productions","Nicole Kidman","Alexandre de Franceschi","Jane Campion","Jennifer Jason Leigh","Mark Ruffalo","Meg Ryan","In the Cut","tt0199626","http://www.imdb.com/title/tt0199626/",5.3,12,9,2003,1.983333333,"English",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,6,1,1,2,2,2,2,6.61818181818182,"Medium",6.98181818181818,"Medium",7,"Medium",6.63333333333333,"Medium",6.15,"Medium",5.3,"Lower",5.3,"Lower","English","Fall","OC"
"Australia","Village Roadshow Pictures","Jane Rosenthal","Andrew Mondshein","Harold Ramis","Lisa Kudrow","Billy Crystal","Robert De Niro","Analyze That","tt0289848","http://www.imdb.com/title/tt0289848/",5.8,60,12,2002,1.6,"English",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,1,2,6,2,2,7.06756756756757,"Medium",7,"Medium",6,"Medium",6.6,"Medium",6.86666666666667,"Medium",6.25,"Medium",6.45625,"Medium","English","Winter","OC"
"Australia","Village Roadshow Pictures","John Davis","Tim Wellburn","Stuart Gordon","Loryn Locklin","Kurtwood Smith","Christopher Lambert","Fortress","tt0106950","http://www.imdb.com/title/tt0106950/",5.8,8,9,1992,1.583333333,"English",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,15,0,1,2,3,2,3,5.2625,"Lower",6.4,"Medium",5.8,"Lower",6.63333333333333,"Medium",5.8,"Lower",5.82307692307692,"Lower",6.45625,"Medium","English","Fall","OC"
"Australia","The Australian Film Commission","Patricia Lovell","William M. Anderson","Peter Weir","Bill Kerr","Mark Lee","Mel Gibson","Gallipoli","tt0082432","http://www.imdb.com/title/tt0082432/",7.6,3,8,1981,1.866666667,"English",1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,2,2,1,3,6.84583333333333,"Medium",7.6,"Medium",7.6,"Medium",7.57142857142857,"Medium",7.24,"Medium",7.6,"Medium",7.6,"Medium","English","Summer","OC"
"Australia","Village Roadshow Pictures","Sandra Bullock","Susan E. Morse","Marc Lawrence","Alicia Witt","Hugh Grant","Sandra Bullock","Two Weeks Notice","tt0313737","http://www.imdb.com/title/tt0313737/",6,60,12,2002,1.683333333,"English",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,26,0,1,1,4,2,2,6.61875,"Medium",6.75555555555556,"Medium",5.76666666666667,"Lower",6.3,"Medium",7.07142857142857,"Medium",5.63333333333333,"Lower",6.45625,"Medium","English","Winter","OC"
"Australia","Village Roadshow Pictures","Armyan Bernstein","Randy Jon Morgan","David Nutter","Nick Stahl","Katie Holmes","James Marsden","Disturbing Behavior","tt0134619","http://www.imdb.com/title/tt0134619/",5.5,15,7,1998,1.4,"English",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,15,0,1,2,5,2,3,6.4,"Medium",5.42,"Lower",5.95,"Lower",5.5,"Lower",5.5,"Lower",5.96666666666667,"Lower",6.45625,"Medium","English","Summer","OC"
